actual,proposed
-0.18025128543376923,-0.232392817735672
-0.17829221487045288,-0.2306799441576004
-0.17502710223197937,-0.22935648262500763
-0.14439891278743744,-0.21412280201911926
-0.14330504834651947,0.1276884377002716
-0.14057038724422455,-0.1901199221611023
-0.13947650790214539,-0.20062732696533203
-0.13783571124076843,-0.14827145636081696
-0.1481766253709793,-0.1769435554742813
-0.14698652923107147,-0.30521029233932495
-0.14639148116111755,-0.19335342943668365
-0.14579643309116364,-0.19889375567436218
-0.1446063369512558,-0.19806598126888275
-0.13512052595615387,-0.1904546022415161
-0.13456450402736664,-0.09944698214530945
-0.13456450402736664,-0.1824823021888733
-0.13512052595615387,-0.1883905977010727
-0.1356765478849411,-0.19487105309963226
-0.1373445987701416,-0.19548630714416504
-0.1592152863740921,-0.20939436554908752
-0.16178306937217712,-0.4416765570640564
-0.16370889544487,-0.25201350450515747
-0.16627667844295502,-0.24771748483181
-0.1694863736629486,-0.25946033000946045
-0.17415045201778412,-0.2676229178905487
-0.17738714814186096,-0.29374730587005615
-0.18127115070819855,-0.2790846824645996
-0.18580244481563568,-0.2914101481437683
-0.19033372402191162,-0.3085038661956787
-0.22304661571979523,-0.31138095259666443
-0.23199686408042908,-0.5504363775253296
-0.2387094646692276,-0.4749053120613098
-0.24616777896881104,-0.40049058198928833
-0.25288015604019165,-0.4174495041370392
-0.2375815212726593,-0.42123326659202576
-0.2465582638978958,-0.1822521984577179
-0.25208231806755066,-0.43922409415245056
-0.25829681754112244,-0.40390822291374207
-0.26451119780540466,-0.4268702566623688
-0.26796358823776245,-0.43469399213790894
-0.2915705740451813,-0.40948787331581116
-0.29811280965805054,-0.6384316682815552
-0.30392804741859436,-0.481687068939209
-0.30974313616752625,-0.4846605360507965
-0.31483128666877747,-0.4917655885219574
-0.30518847703933716,-0.4926207363605499
-0.3100423514842987,-0.32877179980278015
-0.31212255358695984,-0.4814074635505676
-0.31281596422195435,-0.4579629898071289
-0.3148961365222931,-0.444674551486969
-0.3242836594581604,-0.46159684658050537
-0.3249899446964264,-0.549612283706665
-0.3256962299346924,-0.4621259868144989
-0.3278150260448456,-0.4630049765110016
-0.3292275369167328,-0.48061931133270264
-0.3755992650985718,-0.474996417760849
-0.37639978528022766,-0.9638023376464844
-0.3755992650985718,-0.5352950692176819
-0.3747987449169159,-0.5180477499961853
-0.27781012654304504,-0.5165121555328369
-0.2512248754501343,0.5902087688446045
-0.2501375377178192,-0.08847031742334366
-0.24905018508434296,-0.3390443027019501
-0.2479628175497055,-0.33789336681365967
-0.24687547981739044,-0.3363353908061981
-0.2457880973815918,-0.3347019553184509
-0.22436940670013428,-0.3335036337375641
-0.22287051379680634,-0.10200898349285126
-0.2213716059923172,-0.2968689799308777
-0.21987269818782806,-0.29457804560661316
-0.21837379038333893,-0.29278215765953064
-0.24369306862354279,-0.2905550003051758
-0.24313294887542725,-0.5941980481147766
-0.24201272428035736,-0.3274651765823364
-0.2397722601890564,-0.3262876570224762
-0.2217925488948822,-0.3241312801837921
-0.22075141966342926,-0.14011171460151672
-0.2197103053331375,-0.2986849248409271
-0.21918973326683044,-0.2964158356189728
-0.21918973326683044,-0.3017013370990753
-0.19730335474014282,-0.30686625838279724
-0.19730335474014282,-0.06287763267755508
-0.19730335474014282,-0.2762252986431122
-0.1963639259338379,-0.27622532844543457
-0.19589421153068542,-0.2652912735939026
-0.1949547827243805,-0.26960527896881104
-0.22265653312206268,-0.2634117007255554
-0.22372683882713318,-0.586458146572113
-0.22533227503299713,-0.3238557279109955
-0.22640256583690643,-0.3154658377170563
-0.2030028998851776,-0.3329179883003235
-0.20347937941551208,-0.03374958410859108
-0.20395585894584656,-0.28487178683280945
-0.20490878820419312,-0.2903801202774048
-0.21461404860019684,-0.2962041199207306
-0.21511192619800568,-0.3992357552051544
-0.21560978889465332,-0.3061287999153137
-0.216605544090271,-0.30685147643089294
-0.21710340678691864,-0.313039630651474
-0.21809916198253632,-0.3087647557258606
-0.20324808359146118,-0.3154791593551636
-0.1600855439901352,-0.13064315915107727
-0.16044935584068298,0.19289013743400574
-0.16081315279006958,-0.22836843132972717
-0.16117694973945618,-0.2288217842578888
-0.17954115569591522,-0.22925660014152527
-0.1799464076757431,-0.4323042631149292
-0.18035165965557098,-0.25606217980384827
-0.18075689673423767,-0.2565217912197113
-0.18116213381290436,-0.25700652599334717
-0.14241351187229156,-0.257058709859848
-0.14273136854171753,0.2957490086555481
-0.14336711168289185,-0.20294810831546783
-0.14432071149349213,-0.2069779336452484
-0.1452743113040924,-0.21133819222450256
-0.15014398097991943,-0.213062584400177
-0.15144950151443481,-0.2553626298904419
-0.1527549922466278,-0.2262088805437088
-0.154060497879982,-0.2272159308195114
-0.15536600351333618,-0.22866597771644592
-0.15699787437915802,-0.22966477274894714
-0.14560621976852417,-0.23785538971424103
-0.14740370213985443,-0.09306791424751282
-0.14890159666538239,-0.22488050162792206
-0.15099866688251495,-0.22347137331962585
-0.15309572219848633,-0.23228293657302856
-0.15650251507759094,-0.23471620678901672
-0.1586131751537323,-0.2542352080345154
-0.16102536022663116,-0.24338312447071075
-0.16343751549720764,-0.2479969561100006
-0.16615121066570282,-0.2533673048019409
-0.21907706558704376,-0.2571018636226654
-0.2222062647342682,-0.9062040448188782
-0.2249443084001541,-0.34331586956977844
-0.22846461832523346,-0.34151366353034973
-0.2319849133491516,-0.35613754391670227
-0.27835947275161743,-0.3594434857368469
-0.28113776445388794,-0.42222732305526733
-0.2871573567390442,-0.425711989402771
-0.29039862751960754,-0.4312075078487396
-0.3055165112018585,-0.43671050667762756
-0.3088887631893158,-0.6100438237190247
-0.3112974762916565,-0.46594274044036865
-0.3141879141330719,-0.45985060930252075
-0.3165965974330902,-0.46967604756355286
-0.2627622187137604,-0.4674806296825409
-0.24125847220420837,0.16325218975543976
-0.2419806867837906,-0.12148234248161316
-0.2419806867837906,-0.3443310558795929
-0.2423417717218399,-0.3387738764286041
-0.2427028864622116,-0.34287843108177185
-0.24635188281536102,-0.3433036506175995
-0.2467184215784073,-0.38238295912742615
-0.24745146930217743,-0.3489781320095062
-0.2478179931640625,-0.3507736921310425
-0.2950763702392578,-0.35118743777275085
-0.2946406304836273,-0.8856433033943176
-0.29376915097236633,-0.4083794355392456
-0.29333341121673584,-0.40245866775512695
-0.29333341121673584,-0.40764254331588745
-0.33092692494392395,-0.41066774725914
-0.33092692494392395,-0.8522012233734131
-0.33092692494392395,-0.4632986783981323
-0.3314177393913269,-0.4632986783981323
-0.3314177393913269,-0.4687366783618927
-0.33190858364105225,-0.4639858603477478
-0.37093740701675415,-0.46961265802383423
-0.3720311224460602,-0.9066788554191589
-0.373124897480011,-0.5305680632591248
-0.373124897480011,-0.5345857739448547
-0.3736717700958252,-0.5223758816719055
-0.38925623893737793,-0.5287454128265381
-0.3903938829898834,-0.6975982785224915
-0.39210036396980286,-0.5581743717193604
-0.34205591678619385,-0.5653942823410034
-0.34304556250572205,0.03735679015517235
-0.37187525629997253,-0.4899273216724396
-0.37187525629997253,-0.8155758380889893
-0.3724116384983063,-0.520626425743103
-0.3724116384983063,-0.5267314910888672
-0.3729480504989624,-0.521377444267273
-0.3729480504989624,-0.528006374835968
-0.3574502468109131,-0.5221284031867981
-0.3579636216163635,-0.3404862880706787
-0.3579636216163635,-0.5062922835350037
-0.3589903712272644,-0.5011501908302307
-0.3600171208381653,-0.5126619338989258
-0.3705211281776428,-0.5146632790565491
-0.3715732991695404,-0.6212497353553772
-0.3726254999637604,-0.530881941318512
-0.37420374155044556,-0.531936526298523
-0.37578198313713074,-0.5404778718948364
-0.43392235040664673,-0.5414820313453674
-0.4363417327404022,-1.0378434658050537
-0.43876105546951294,-0.6472502946853638
-0.44118040800094604,-0.6393985748291016
-0.4429948329925537,-0.6420547366142273
-0.4715675711631775,-0.6383385062217712
-0.47349098324775696,-0.9428137540817261
-0.42240166664123535,-0.6813424229621887
-0.4246774911880493,-0.06561608612537384
-0.4263843595981598,-0.6178151369094849
-0.4705367386341095,-0.6140105128288269
-0.473034530878067,-1.099373459815979
-0.4761567711830139,-0.6867008209228516
-0.4786545932292938,-0.6971083879470825
-0.48115232586860657,-0.6959937810897827
-0.4836500585079193,-0.6978948712348938
-0.5393638610839844,-0.7026196122169495
-0.5435143709182739,-1.2882566452026367
-0.5462813377380371,-0.803956925868988
-0.5497400164604187,-0.7898007035255432
-0.5538904070854187,-0.8091717958450317
-0.5959321856498718,-0.8172259330749512
-0.5996295809745789,-1.2409569025039673
-0.6025874018669128,-0.839482843875885
-0.6092424988746643,-0.9146795272827148
-0.6583497524261475,-0.8820068836212158
-0.6615298390388489,-1.4194096326828003
-0.6655048131942749,-0.9585515260696411
-0.6694796681404114,-0.967934787273407
-0.6726595163345337,-0.9800552725791931
-0.7731040120124817,-0.9731342792510986
-0.7712302803993225,-2.124833106994629
-0.7748317718505859,-1.0609463453292847
-0.7793336510658264,-1.1201181411743164
-0.7829349040985107,-1.1361138820648193
-0.8587606549263,-1.1311696767807007
-0.8636736869812012,-1.9799660444259644
-0.8676038980484009,-1.2590839862823486
-0.8705514073371887,-1.2537866830825806
-0.8744814991950989,-1.247237205505371
-0.8784113526344299,-1.2649931907653809
-0.9930347204208374,-1.2692337036132812
-0.9974545240402222,-2.5366084575653076
-0.9996643662452698,-1.4387282133102417
-1.002979040145874,-1.4221763610839844
-1.0051887035369873,-1.4378318786621094
-1.0633149147033691,-1.4289186000823975
-1.0633149147033691,-2.084902763366699
-1.0644819736480713,-1.488642692565918
-1.0691498517990112,-1.543242335319519
-1.3484917879104614,-1.5235403776168823
-1.3470228910446167,-1.8714185953140259
-1.3499605655670166,-1.8858340978622437
-1.3573042154312134,-1.9526190757751465
-1.5573174953460693,-1.9432140588760376
-1.5589995384216309,-4.229232311248779
-1.562363624572754,-2.199103355407715
-1.562363624572754,-2.2216684818267822
-1.562363624572754,-2.1873114109039307
-1.5640455484390259,-2.1873114109039307
-1.7891957759857178,-2.20605731010437
-1.791113257408142,-4.819427967071533
-1.7930307388305664,-2.526298999786377
-1.7987827062606812,-2.529792547225952
-1.8006999492645264,-2.5756914615631104
-2.0170812606811523,-2.540177583694458
-2.0213654041290283,-4.934665203094482
-2.0235073566436768,-2.8734326362609863
-2.0235073566436768,-2.8540191650390625
-2.0235073566436768,-2.8329131603240967
-2.4711484909057617,-2.8329131603240967
-2.473745346069336,-7.9077630043029785
-2.473745346069336,-3.4632463455200195
-2.473745346069336,-3.4925241470336914
-2.473745346069336,-3.4378483295440674
-2.884892463684082,-3.4632465839385986
-2.884892463684082,-8.0
-2.890901565551758,-4.038852691650391
-2.8939056396484375,-4.109267234802246
-2.8999130725860596,-4.081453323364258
-3.1076269149780273,-4.117866039276123
-3.110826253890991,-6.471612930297852
-3.114025354385376,-4.387750148773193
-3.1076269149780273,-4.391413688659668
-3.1076269149780273,-4.286407947540283
-3.464747428894043,-4.350681304931641
-3.461209535598755,-8.0
-3.461209535598755,-4.810783863067627
-3.461209535598755,-4.845696926116943
-3.4576711654663086,-4.845696926116943
-3.6787192821502686,-4.808976650238037
-3.6824653148651123,-7.619595050811768
-3.6824653148651123,-5.192566871643066
-3.6824653148651123,-5.155455589294434
-3.6824653148651123,-5.155455589294434
-3.880425453186035,-5.155455589294434
-3.8725829124450684,-7.415370464324951
-3.8647384643554688,-5.3450703620910645
-3.8686609268188477,-5.329801559448242
-3.8686609268188477,-5.454280853271484
-3.8686609268188477,-5.4161295890808105
-4.008702278137207,-5.416130065917969
-4.00465202331543,-7.010787010192871
-4.000600337982178,-5.567493915557861
-3.996548652648926,-5.5606513023376465
-3.996548652648926,-5.553137302398682
-4.058136940002441,-5.595172882080078
-4.058136940002441,-6.284701824188232
-4.054023742675781,-5.681396961212158
-4.049910068511963,-5.6321821212768555
-4.049910068511963,-5.629132270812988
-4.1889519691467285,-5.66987943649292
-4.1931915283203125,-7.287831783294678
-4.1931915283203125,-5.870473861694336
-4.1889519691467285,-5.870473861694336
-4.37698221206665,-5.821181297302246
-4.37698221206665,-8.0
-4.37698221206665,-6.127780914306641
-4.37698221206665,-6.127780914306641
-4.37698221206665,-6.127780914306641
-4.37698221206665,-6.127780914306641
-4.463987827301025,-6.127780914306641
-4.459506988525391,-7.135372161865234
-4.459506988525391,-6.199258804321289
-4.459506988525391,-6.243316650390625
-4.455025672912598,-6.243316650390625
-4.815515041351318,-6.191929340362549
-4.820308685302734,-8.0
-4.815515041351318,-6.7957329750061035
-4.810719966888428,-6.692621231079102
-4.805923938751221,-6.689156532287598
-5.2202839851379395,-6.677879333496094
-5.20997428894043,-8.0
-5.204817771911621,-7.186413764953613
-5.204817771911621,-7.234650611877441
-5.19965934753418,-7.286752223968506
-5.19965934753418,-7.235570907592773
-5.446568489074707,-7.2795305252075195
-5.441202640533447,-7.562714099884033
-5.451932907104492,-7.617691516876221
-5.441202640533447,-7.737479209899902
-5.690828323364258,-7.967167377471924
-5.679686069488525,-7.967167854309082
-5.679686069488525,-7.845017433166504
-5.9930572509765625,-7.951569080352783
-5.987244129180908,-8.0
-5.981428623199463,-8.0
-5.987244129180908,-8.0
-5.987244129180908,-8.0
-6.31361722946167,-8.0
-6.301506042480469,-8.0
-6.301506042480469,-8.0
-6.28938627243042,-8.0
-6.283323287963867,-8.0
-6.610625743865967,-8.0
-6.604323387145996,-8.0
-6.604323387145996,-8.0
-6.604323387145996,-8.0
-6.598017692565918,-8.0
-6.591710090637207,-8.0
-6.822286128997803,-8.0
-6.81581974029541,-8.0
-6.8028788566589355,-8.0
-6.796403884887695,-8.0
-6.796403884887695,-8.0
-7.20253324508667,-8.0
-7.195815563201904,-8.0
-7.195815563201904,-8.0
-7.195815563201904,-8.0
-7.369630813598633,-8.0
-7.376453876495361,-8.0
-7.376453876495361,-8.0
-7.369630813598633,-8.0
-7.362804889678955,-8.0
-7.464915752410889,-8.0
-7.451131343841553,-8.0
-7.437332630157471,-8.0
-7.437332630157471,-8.0
-7.4442338943481445,-8.0
-7.451131343841553,-8.0
-7.60559606552124,-8.0
-7.612579822540283,-8.0
-7.626534461975098,-8.0
-7.626534461975098,-8.0
-7.619559288024902,-8.0
-7.7700581550598145,-8.0
-7.762994289398193,-8.0
-7.755927085876465,-8.0
-7.755927085876465,-8.0
-7.762994289398193,-8.0
-7.708244800567627,-8.0
-7.687028884887695,-8.0
-7.665777206420898,-8.0
-7.651590824127197,-8.0
-7.644491195678711,-8.0
-7.71612548828125,-8.0
-7.730384826660156,-8.0
-7.730384826660156,-8.0
-7.70898962020874,-8.0
-7.694705486297607,-8.0
-7.687557697296143,-8.0
-7.7137603759765625,-8.0
-7.706593990325928,-8.0
-7.699423789978027,-8.0
-7.692249298095703,-8.0
-7.706593990325928,-8.0
-7.77522087097168,-8.0
-7.768012523651123,-8.0
-7.77522087097168,-8.0
-7.782426357269287,-8.0
-7.877930164337158,-8.0
-7.8851752281188965,-8.0
-7.899653911590576,-8.0
-7.914114475250244,-8.0
-7.92133903503418,-8.0
-7.90435791015625,-8.0
-7.918760299682617,-8.0
-7.933145523071289,-8.0
-7.940331935882568,-8.0
-7.976202487945557,-8.0
-8.069795608520508,-8.0
-8.076990127563477,-8.0
-8.084179878234863,-8.0
-8.091364860534668,-8.0
-8.098546981811523,-8.0
-8.157495498657227,-8.0
-8.179054260253906,-8.0
-8.200573921203613,-8.0
-8.222055435180664,-8.0
-8.243497848510742,-8.0
-8.288481712341309,-8.0
-8.302766799926758,-8.0
-8.302766799926758,-8.0
-8.317034721374512,-8.0
-8.549919128417969,-8.0
-8.564332008361816,-8.0
-8.57872486114502,-8.0
-8.585914611816406,-8.0
-8.585914611816406,-8.0
-8.678116798400879,-8.0
-8.678116798400879,-8.0
-8.678116798400879,-8.0
-8.670896530151367,-8.0
-8.670896530151367,-8.0
-8.615765571594238,-8.0
-8.615765571594238,-8.0
-8.615765571594238,-8.0
-8.615765571594238,-8.0
-8.622970581054688,-8.0
-8.562996864318848,-8.0
-8.570172309875488,-8.0
-8.570172309875488,-8.0
-8.562996864318848,-8.0
-8.570172309875488,-8.0
